,time,y1,y2
0,0.0,1.697259,0.88773423
1,0.10040161,1.7998022,0.66321814
2,0.20080322,1.8464943,0.4380496
3,0.30120483,1.8635063,0.24976102
4,0.40160644,1.8903371,0.059447944
5,0.5020081,1.9073081,-0.14513873
6,0.60240966,1.8608934,-0.3052621
7,0.70281124,1.8429661,-0.49166155
8,0.8032129,1.7582048,-0.60835147
9,0.9036145,1.7062095,-0.75140727
10,1.0040162,1.6175017,-0.8959876
11,1.1044177,1.505695,-1.0017935
12,1.2048193,1.4096965,-1.114851
13,1.305221,1.3121431,-1.1737878
14,1.4056225,1.1771523,-1.2502793
15,1.5060241,1.0438956,-1.2771852
16,1.6064258,0.9183188,-1.3355578
17,1.7068274,0.78585047,-1.3449601
18,1.807229,0.6567598,-1.3508989
19,1.9076306,0.5048663,-1.3276007
20,2.0080323,0.39334017,-1.3155801
21,2.1084337,0.2663772,-1.2771933
22,2.2088354,0.122156225,-1.2386557
23,2.309237,0.0071819434,-1.190556
24,2.4096386,-0.10610024,-1.137084
25,2.5100403,-0.21015435,-1.0465825
26,2.610442,-0.32508576,-0.9741164
27,2.7108436,-0.41559988,-0.87375665
28,2.811245,-0.50353724,-0.80421716
29,2.9116466,-0.58164734,-0.7178575
30,3.0120482,-0.63104016,-0.6194682
31,3.11245,-0.6892111,-0.534609
32,3.2128515,-0.7460192,-0.41148728
33,3.3132532,-0.7952321,-0.31448877
34,3.4136548,-0.8170865,-0.2216512
35,3.5140564,-0.833555,-0.14596233
36,3.614458,-0.8597277,-0.05182368
37,3.7148595,-0.8359409,0.03681212
38,3.8152611,-0.83803254,0.12610431
39,3.9156628,-0.80994654,0.18449366
40,4.0160646,-0.7816694,0.2475278
41,4.116466,-0.7753915,0.29847178
42,4.2168674,-0.72381634,0.38666475
43,4.3172693,-0.69965106,0.43219182
44,4.4176707,-0.6582094,0.4937905
45,4.5180726,-0.5770074,0.51960564
46,4.618474,-0.5377133,0.541227
47,4.718876,-0.4864234,0.54845804
48,4.8192773,-0.41020828,0.5746306
49,4.9196787,-0.3705151,0.59972024
50,5.0200806,-0.3046037,0.6000355
51,5.120482,-0.24561276,0.5885317
52,5.220884,-0.20079,0.5988044
53,5.3212852,-0.14966269,0.58535564
54,5.421687,-0.090900645,0.5646151
55,5.5220885,-0.01761977,0.5356091
56,5.62249,0.03980231,0.5027808
57,5.722892,0.08664039,0.47364813
58,5.823293,0.13317552,0.4553942
59,5.923695,0.16055465,0.4056091
60,6.0240965,0.22704293,0.36364466
61,6.1244984,0.245516,0.32680503
62,6.2249,0.27205595,0.27557293
63,6.3253016,0.28836113,0.23988472
64,6.425703,0.3337826,0.19363965
65,6.5261045,0.34515744,0.15602739
66,6.6265063,0.35197166,0.12235432
67,6.7269077,0.35788074,0.06070456
68,6.8273096,0.37340838,0.028111355
