,time,y1,y2
0,0.0,1.9534571,0.048634253
1,0.10040161,1.9360421,-0.1546996
2,0.20080322,1.918353,-0.33387664
3,0.30120483,1.8923724,-0.5070146
4,0.40160644,1.8405554,-0.6644743
5,0.5020081,1.7522023,-0.8109227
6,0.60240966,1.685752,-0.96377456
7,0.70281124,1.5723538,-1.0447824
8,0.8032129,1.4493922,-1.143567
9,0.9036145,1.3331759,-1.2164636
10,1.0040162,1.2040585,-1.2917109
11,1.1044177,1.0852298,-1.3461542
12,1.2048193,0.9613495,-1.3817738
13,1.305221,0.7938748,-1.3891315
14,1.4056225,0.6570585,-1.3884115
15,1.5060241,0.53107333,-1.3931649
16,1.6064258,0.40176928,-1.3676564
17,1.7068274,0.26402095,-1.3360995
18,1.807229,0.120646074,-1.2737454
19,1.9076306,0.00085207005,-1.2335687
20,2.0080323,-0.11648971,-1.1642298
21,2.1084337,-0.22541997,-1.1027744
22,2.2088354,-0.32488346,-0.99881214
23,2.309237,-0.44171575,-0.91517514
24,2.4096386,-0.51173973,-0.825602
25,2.5100403,-0.5910041,-0.72185636
26,2.610442,-0.6630364,-0.61390483
27,2.7108436,-0.7157794,-0.5273012
28,2.811245,-0.7588534,-0.42907435
29,2.9116466,-0.7999099,-0.32657862
30,3.0120482,-0.8206918,-0.24484603
31,3.11245,-0.86585814,-0.12673984
32,3.2128515,-0.87932575,-0.066402875
33,3.3132532,-0.8688151,0.026014142
34,3.4136548,-0.8641365,0.11344497
35,3.5140564,-0.84349793,0.19905624
36,3.614458,-0.8298098,0.2774138
37,3.7148595,-0.8078961,0.33190566
38,3.8152611,-0.7588663,0.3950916
39,3.9156628,-0.68655485,0.43889067
40,4.0160646,-0.6592404,0.49028102
41,4.116466,-0.5986813,0.5200853
42,4.2168674,-0.55393016,0.56873703
43,4.3172693,-0.5169165,0.5930376
44,4.4176707,-0.42814904,0.6046522
45,4.5180726,-0.38882852,0.6193772
46,4.618474,-0.3239238,0.60718197
47,4.718876,-0.2482412,0.6041436
48,4.8192773,-0.20222557,0.60880816
49,4.9196787,-0.12179208,0.5966292
50,5.0200806,-0.07014422,0.57744277
51,5.120482,-0.01928226,0.55067086
52,5.220884,0.022747818,0.5334296
53,5.3212852,0.1026524,0.49727073
54,5.421687,0.13737173,0.46427432
55,5.5220885,0.18807681,0.42762992
56,5.62249,0.21959479,0.3783631
57,5.722892,0.27166006,0.3466118
58,5.823293,0.29149103,0.301792
59,5.923695,0.3278428,0.2435668
60,6.0240965,0.34745508,0.20949142
61,6.1244984,0.3690377,0.15943195
62,6.2249,0.3691624,0.1242154
63,6.3253016,0.37481496,0.07380355
64,6.425703,0.3962527,0.03508629
65,6.5261045,0.39284453,-0.014953337
66,6.6265063,0.3868609,-0.030994944
67,6.7269077,0.38103214,-0.073452845
68,6.8273096,0.35677075,-0.10594339
69,6.927711,0.36331257,-0.149997
70,7.028113,0.35568428,-0.16464506
71,7.1285143,0.31253186,-0.1691482
72,7.228916,0.27727947,-0.21941258
73,7.3293176,0.29176125,-0.23225713
74,7.429719,0.25476834,-0.24784331
75,7.530121,0.23042834,-0.2622101
76,7.6305223,0.22241601,-0.26809078
77,7.730924,0.19438338,-0.27929112
78,7.8313255,0.1496957,-0.29483223
79,7.9317274,0.124617174,-0.26977783
80,8.032129,0.0875545,-0.26462546
81,8.13253,0.0669367,-0.2903424
82,8.232932,0.0227026,-0.2687043
83,8.333334,0.011998677,-0.26274005
84,8.433735,0.005310512,-0.24331252
85,8.534137,-0.033498634,-0.23496194
86,8.634539,-0.060755037,-0.22398503
87,8.734941,-0.0932902,-0.19578563
88,8.835341,-0.092437714,-0.18421623
89,8.935743,-0.11094982,-0.14005335
90,9.036145,-0.10420945,-0.12776196
91,9.136546,-0.13380383,-0.119853355
92,9.236948,-0.15441042,-0.09454639
93,9.33735,-0.14853743,-0.06647287
94,9.437752,-0.15048164,-0.052280825
95,9.538153,-0.15243958,-0.01420052
96,9.638555,-0.1655547,-0.0020088516
97,9.738956,-0.16211309,-0.005382557
98,9.839357,-0.16169678,0.02303159
99,9.939759,-0.16267638,0.014149332
100,10.040161,-0.17404267,0.035435878
101,10.140563,-0.14534466,0.053077262
102,10.240964,-0.14362763,0.06996356
103,10.341366,-0.1331554,0.09572917
104,10.441768,-0.13114022,0.094808385
105,10.542169,-0.13962626,0.10311293
106,10.6425705,-0.105754,0.09909351
107,10.742972,-0.10481891,0.11226718
108,10.843374,-0.10317063,0.11773218
109,10.943775,-0.07097404,0.14789295
110,11.044177,-0.0798896,0.1107396
111,11.144579,-0.060694937,0.11507026
112,11.24498,-0.044393696,0.13091563
113,11.345382,-0.03144479,0.13580605
114,11.445784,-0.018202234,0.10146007
115,11.5461855,-0.019008137,0.11896606
116,11.646586,-0.0033329185,0.122937165
117,11.746988,0.015176063,0.11099352
118,11.84739,0.015163034,0.09850366
119,11.947792,0.016148351,0.08532002
120,12.048193,0.035116363,0.074071
121,12.148595,0.052336548,0.0817069
122,12.248997,0.04616586,0.06317335
123,12.349398,0.077997416,0.043914694
124,12.4498,0.052065816,0.047589347
125,12.550201,0.08267876,0.045529813
126,12.650603,0.08626411,0.0137736015
127,12.751004,0.07805287,0.03402863
128,12.851406,0.08178424,0.028153053
129,12.951808,0.07908296,0.010529799
130,13.052209,0.08691724,-0.004508788
131,13.152611,0.071714275,-0.026054524
132,13.253013,0.062421482,-0.011978088
133,13.353415,0.05291246,-0.019506894
134,13.453815,0.066699035,-0.036033295
135,13.554217,0.07101807,-0.03690205
136,13.654619,0.08328824,-0.024498116
137,13.75502,0.06964526,-0.043213204
138,13.855422,0.05633551,-0.053965863
