,time,y1,y2
0,0.0,1.7188388,0.7917521
1,0.10040161,1.7922311,0.6019155
2,0.20080322,1.8329564,0.36932126
3,0.30120483,1.8776577,0.15976584
4,0.40160644,1.886788,0.0007833252
5,0.5020081,1.8776478,-0.18557844
6,0.60240966,1.8506534,-0.36643407
7,0.70281124,1.7843035,-0.5333754
8,0.8032129,1.7507548,-0.67785317
9,0.9036145,1.6675881,-0.8108865
10,1.0040162,1.5547045,-0.94638515
11,1.1044177,1.4747603,-1.0305015
12,1.2048193,1.3628781,-1.1042494
13,1.305221,1.2492068,-1.2048913
14,1.4056225,1.1339132,-1.2536086
15,1.5060241,1.0070388,-1.3029873
16,1.6064258,0.8598329,-1.315638
17,1.7068274,0.73511034,-1.3330958
18,1.807229,0.6133039,-1.33474
19,1.9076306,0.47682598,-1.3424039
20,2.0080323,0.3251974,-1.2891269
21,2.1084337,0.21817315,-1.2842829
22,2.2088354,0.103890285,-1.2126538
23,2.309237,-0.040841,-1.1663775
24,2.4096386,-0.15821344,-1.0872163
25,2.5100403,-0.2579901,-1.0094802
26,2.610442,-0.35472327,-0.9498716
27,2.7108436,-0.44022712,-0.8434699
28,2.811245,-0.52256423,-0.77094346
29,2.9116466,-0.5898732,-0.66522056
30,3.0120482,-0.6581389,-0.59931767
31,3.11245,-0.71639967,-0.47535744
32,3.2128515,-0.75993115,-0.40833533
33,3.3132532,-0.79073274,-0.30330843
34,3.4136548,-0.81387967,-0.19211122
35,3.5140564,-0.8353362,-0.10094361
36,3.614458,-0.8336881,-0.024249664
37,3.7148595,-0.83474183,0.06537379
38,3.8152611,-0.834978,0.14765678
39,3.9156628,-0.7973719,0.23318172
40,4.0160646,-0.79211926,0.29080993
41,4.116466,-0.75096864,0.34369925
42,4.2168674,-0.72192687,0.40266585
43,4.3172693,-0.6882112,0.44589627
44,4.4176707,-0.6302623,0.47509235
45,4.5180726,-0.5693591,0.5278462
46,4.618474,-0.5066167,0.5434451
47,4.718876,-0.45874226,0.56760746
48,4.8192773,-0.4324274,0.5834777
49,4.9196787,-0.33830407,0.59425634
50,5.0200806,-0.28191757,0.5787181
51,5.120482,-0.2359444,0.5811128
52,5.220884,-0.15856758,0.5709086
53,5.3212852,-0.09807489,0.5755221
54,5.421687,-0.049263738,0.54572225
55,5.5220885,0.006689555,0.5290178
56,5.62249,0.05167789,0.48957112
57,5.722892,0.09033519,0.46261904
58,5.823293,0.16164842,0.41045472
59,5.923695,0.17947422,0.38750914
